Trial,Best Offset,Optimal MSE
Trial 1 - Localization,1.400000000000162,0.005717158314387907
Trial 1 - Exponential,1.400000000000162,0.014207815509040994
Trial 2 - Localization,-0.3999999999998636,0.006591062293712232
Trial 2 - Exponential,-0.3999999999998636,0.016932880107393345
Trial 3 - Localization,1.4210854715202004e-13,0.006937959146650415
Trial 3 - Exponential,-0.0499999999998586,0.014928615208483867
Trial 4 - Localization,1.2500000000001599,0.006850243158420893
Trial 4 - Exponential,1.2500000000001599,0.01382085570137432
Trial 5 - Localization,-1.9999999999998863,0.009330979554978705
Trial 5 - Exponential,-1.9999999999998863,0.012673703473793353
